商品名	型式	買取単価（BOX）	買取単価（カートン）
ROMANCE DAWN	OP-01	25200	321000
頂上決戦	OP-02	14700	186000
強大な敵	OP-03	14200	176000
謀略の王国	OP-04	13700	166000
新時代の主役	OP-05	29200	371000
双璧の覇者	OP-06	13200	166000
500年後の未来	OP-07	7500	95000
二つの伝説	OP-08	5500	69000
新たなる皇帝	OP-09	9000	111000
王族の血統	OP-10	5500	74000
神速の拳	OP-11	14700	191000
師弟の絆	OP-12	7200	89000
受け継がれる意志	OP-13	11700	156000
蒼海の七傑	OP-14	7700	96000
神の島の冒険	OP-15	8100	105000
メモリアルコレクション	EB-01	12700	163000
Anime 25th collection	EB-02	12700	161000
Heroines Edition	EB-03	11700	157000
EGGHEAD CRISIS	EB-04	6400	91000
THE BEST vol.1	PRB-01	10200	111000
THE BEST vol.2	PRB-02	5000	109000
