商品名	型式	買取単価（シュリンクあり）	買取単価（シュリンクなし）
ムニキスゼロ	M3-box	6700	5900
メガドリームex	M2a	9200	8500
インフェルノX	M2	15200	13200
メガブレイブ	M1L	9800	8700
メガシンフォニア	M1S	8500	7700
ブラックボルト	SV11B	16200	14200
ホワイトフレア	SV11W	15300	12200
ブラックボルトDX	SV11B-dx	20400	17200
ホワイトフレアDX	SV11W-dx	17400	14200
ロケット団の栄光	SV10	17400	16400
熱風のアリーナ(プロモ無し)	SV9a	15700	12700
バトルパートナーズ(プロモ無し)	SV9	8900	8200
テラスタルフェスex	SV8a	14800	13700
超電ブレイカー	SV8	25200	22700
楽園ドラゴーナ	SV7a	15200	12200
ステラミラクル	SV7	8900	6000
ナイトワンダラー	SV6a	9100	7000
変幻の仮面	SV6	10200	7000
クリムゾンヘイズ	SV5a	13400	10200
ワイルドフォース	SV5k	9700	7200
サイバージャッジ	SV5M	8900	7000
シャイニートレジャーex	SV4a	13200	12000
古代の咆哮	SV4K	9200	7200
未来の一閃	SV4M	9000	7200
レイジングサーフ	SV3a	11700	9000
黒炎の支配者	SV3	14800	13200
ポケモンカード151	SV2a	36900	30200
VSTARユニバース	S12a	22700	19200
クレイバースト	SV2D	10700	9200
スノーハザード	SV2P	9200	7200
トリプレットビート	SV1a	14200	10700
スカーレットex	SV1S	10400	8400
バイオレットex	SV1V	9000	7300
パラダイムトリガー	S12	16700	14700
白熱のアルカナ	S11a	9200	8200
ロストアビス	S11	37700	30200
PokémonGO	S10b		13400
ダークファンタズマ	S10a		13200
タイムゲイザー	S10D		15700
スペースジャグラー	S10P		12200
バトルリージョン	S9a		11200
スターバース	S9		15700
VMAXクライマックス	S8b		23200
25thアニバーサリー	S8a		48200
フュージョンアーツ	S8		35200
イーブイヒーローズ	S6a		105200
蒼空ストリーム	S7R		190200
摩天パーフェクト	S7D		17200
シャイニースターV	S4a		16800
仰天のボルテッカー	S4		34200
漆黒のガイスト	S6K		20700
白銀のランス	S6H		15700
双璧のファイター	S5a		30200
連撃マスター	S5R		38200
一撃マスター	S5I		28200
伝説の鼓動	S3a		25200
ソードV	S1W		44200
シールドV	S1H		55200
タッグオールスターズ	SM12a		140200
オルタージェネシス	SM12		46200
ドリームリーグ	SM11b		148200
リミックスバウト	SM11a		90200
ミラクルツイン	SM11		115200
スカイレジェンド	SM10b		88200
ジージーエンド	SM10a		52200
ダブルブレイズ	SM10		77200
フルメタルウォール	SM9b		40200
ナイトユニゾン	SM9a		63200
タッグボルト	SM9		265200
GXウルトラシャイニー	SM8b		155200
ダークオーダー	SM8a		35200
超爆インパクト	SM8		65200
フェアリーライズ	SM7b		36200
迅雷スパーク	SM7a		40200
禁断の光	SM6		48200
ムゲンゾーン	S3		28200
爆炎ウォーカー	S2a		21700
反逆クラッシュ	S2		30200
VMAXライジング	S1a		65200
チャンピオンロード	SM6b		70200
ドラゴンストーム	SM6a		58200
ウルトラフォース	SM5+		45200
ウルトラムーン	SM5M		95200
