商品名	型式	買取単価（BOX）	買取単価（カートン）
QUARTER CENTURY ART COLLECTION	QCAC	4600	
QUARTER CENTURY LIMITED PACK	QCLP	6600	
LIMITED PACK GX	LPGX	5500	
BURST PROTOCOL	BODE	5800	
DUELIST ADVANCE	DUNE	3500	
AGE OF OVERLORD	AGOV	6700	
INFINITE FORBIDDEN	INOV	5700	
RAGE OF THE ABYSS	ROTA	7600	
SUPREME DARKNESS	SUDA	3400	
ALLIANCE INSIGHT	ALSI	4500	
POWER OF THE ELEMENTS	POTE	3000	
DARKWING BLAST	DABL	2800	
IGNITION ASSAULT	IGAS	20200	
QUARTER CENTURY CHRONICLE side:UNITY	QCCU	7100	
QUARTER CENTURY CHRONICLE side:PRIDE	QCCP	5900	
20th ANNIVERSARY LEGEND COLLECTION	20TH	15200	
クロスオーバー・ブレイカーズ	CROS	2000	
オーバーラッシュパック2	ORP2	4700	
PREMIUM PACK 2024	PP24	2700	
PREMIUM PACK 2023	PP23	2200	
QUARTER CENTURY DUELIST BOX	QCDB	5200	
THE CHRONICLES DECK・白の物語	TCDW	2300	
LIMITED PACK - STAMP EDITION -BOX	LPSB	4600	
PREMIUM PACK 2026	PP26	3400	
BLAZING DOMINION	BLVO	6200	
LIMIT OVER COLLECTION	LOC	9200	
LIMIT OVER COLLECTION- THE HEROES	LOCH	1400	
